./mfm2tb.py data/test.csv > testbench.v
iverilog -o mfm testbench.v mfm.v
vvp mfm | tee graph.txt
0 x 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 0xxxxxxxxx xxxxxxxx 0xxx 0 xxxxxxxx 0xxx x
1985 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2010 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2035 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2060 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2085 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2110 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2135 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2160 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2185 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2210 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2235 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2260 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2285 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2310 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2335 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2360 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2385 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2410 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2435 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2460 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2485 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2510 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2535 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2560 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2585 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2610 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2635 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2660 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2685 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2710 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2735 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2760 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2785 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2810 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2835 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2860 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2885 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2910 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
2935 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2960 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
2985 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3010 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3035 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3060 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3085 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3110 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3135 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3160 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3185 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3210 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3235 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3260 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3285 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3310 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3335 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3360 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3385 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3410 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3435 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3460 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3485 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3510 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3535 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3560 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3585 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3610 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3635 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3660 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3685 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3710 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3735 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3760 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3785 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3810 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3835 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3860 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3885 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3910 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
3935 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3960 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
3985 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4010 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4035 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4060 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4085 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4110 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4135 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4160 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4185 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4210 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4235 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4260 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4285 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4310 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4335 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4360 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4385 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4410 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4435 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4460 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4485 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4510 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4535 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4560 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4585 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4610 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4635 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4660 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4685 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4710 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4735 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4760 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4785 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4810 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4835 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4860 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4885 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4910 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
4935 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4960 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
4985 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5010 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5035 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5060 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5085 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5110 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5135 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5160 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5185 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5210 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5235 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5260 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5285 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5310 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5335 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5360 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5385 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5410 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5435 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5460 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5485 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5510 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5535 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5560 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5585 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5610 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5635 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5660 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5685 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5710 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5735 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5760 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5785 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5810 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
5835 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5860 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
5885 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
